,game_id,date,duration,platform,p1_char,p2_char,p3_char,p4_char,stage,is_teams,is_pal
219,20190406T081711,2019-04-06 08:17:11+00:00,13398,Platform.NINTENDONT,19.0,20.0,,,31,False,False
220,20190406T172841,2019-04-06 17:28:41+00:00,6700,Platform.NINTENDONT,,,2.0,9.0,2,False,False
221,20190406T122247,2019-04-06 12:22:47+00:00,9477,Platform.NINTENDONT,,9.0,,2.0,8,False,False
222,20190406T211147,2019-04-06 21:11:47+00:00,3643,Platform.NINTENDONT,,9.0,,20.0,2,False,False
223,20190406T065642,2019-04-06 06:56:42+00:00,15739,Platform.NINTENDONT,20.0,,15.0,,31,False,False
224,20190406T132929,2019-04-06 13:29:29+00:00,13240,Platform.NINTENDONT,20.0,,,13.0,3,False,False
225,20190406T150612,2019-04-06 15:06:12+00:00,8736,Platform.NINTENDONT,15.0,2.0,,,32,False,False
226,20190406T004525,2019-04-06 00:45:25+00:00,10183,Platform.NINTENDONT,,,15.0,9.0,8,False,False
227,20190406T012409,2019-04-06 01:24:09+00:00,7165,Platform.NINTENDONT,9.0,,,9.0,31,False,False
228,20190406T011102,2019-04-06 01:11:02+00:00,5790,Platform.NINTENDONT,2.0,,,9.0,8,False,False
229,20190406T010208,2019-04-06 01:02:08+00:00,6558,Platform.NINTENDONT,2.0,,,9.0,8,False,False
230,20190309T010902,2019-03-09 01:09:02+00:00,9880,Platform.NINTENDONT,,7.0,,16.0,8,False,False
231,20190406T113715,2019-04-06 11:37:15+00:00,2108,Platform.NINTENDONT,20.0,,2.0,15.0,3,False,False
232,20190406T190420,2019-04-06 19:04:20+00:00,7437,Platform.NINTENDONT,20.0,,,2.0,32,False,False
233,20190406T163225,2019-04-06 16:32:25+00:00,8714,Platform.NINTENDONT,0.0,,,0.0,2,False,False
234,20190406T075321,2019-04-06 07:53:21+00:00,6142,Platform.NINTENDONT,25.0,,,0.0,31,False,False
235,20190406T141906,2019-04-06 14:19:06+00:00,12198,Platform.NINTENDONT,,,0.0,12.0,3,False,False
236,20190309T000244,2019-03-09 00:02:44+00:00,11529,Platform.NINTENDONT,9.0,,,2.0,8,False,False
237,20190406T113932,2019-04-06 11:39:32+00:00,8512,Platform.NINTENDONT,9.0,2.0,7.0,16.0,32,True,False
238,20190406T110036,2019-04-06 11:00:36+00:00,4646,Platform.NINTENDONT,0.0,20.0,15.0,9.0,3,True,False
239,20190406T175651,2019-04-06 17:56:51+00:00,6245,Platform.NINTENDONT,9.0,,,2.0,2,False,False
